,shortcode,post_type,username,like,comment,object_1,object_2,object_3,object_4,object_5,object_6
5,Cq39ZPJPj7V,GraphSidecar,kourtneykardash,659088,1869,1 person,convertible,No Object,No Object,No Object,No Object
6,Cqo8cwIuQlP,GraphSidecar,kourtneykardash,2204471,4788,2 people,people kissing,eyewear,dinner jacket,wedding,No Object
7,CqnwuJypavp,GraphVideo,kourtneykardash,525222,5188,No Object,No Object,No Object,No Object,No Object,No Object
8,CqWO4eIvlSs,GraphSidecar,kourtneykardash,769639,5577,1 person,blonde hair,fur,costume,fishnet stockings,miniskirt
9,CqTuZyouIhx,GraphSidecar,kourtneykardash,1378232,7179,1 person,blonde hair,slip,sink,bathtub,wash basin
0,CrSLRkGrwbc,GraphImage,nickiminaj,573135,6615,2 people,glasses,turtleneck,No Object,No Object,No Object
1,CrGq03aMb6d,GraphVideo,nickiminaj,3379178,63717,No Object,No Object,No Object,No Object,No Object,No Object
2,CrEDpo2rmJM,GraphImage,nickiminaj,1575972,14931,1 person,makeup,boots,No Object,No Object,No Object
3,CrD7I3hNTLa,GraphVideo,nickiminaj,731246,7310,No Object,No Object,No Object,No Object,No Object,No Object
4,CrBcp7Fgm6t,GraphVideo,nickiminaj,1499070,25047,No Object,No Object,No Object,No Object,No Object,No Object
5,CrATqN0u6K7,GraphImage,nickiminaj,1332108,11168,one or more people,fingernails,makeup,high-heeled shoes,No Object,No Object
6,Cqw5WirOR7o,GraphImage,nickiminaj,1457992,13201,3 people,people st,"ing, fur coat, sweatsuit and flight jacket",No Object,No Object,No Object
7,CqvYMiaLR8e,GraphSidecar,nickiminaj,1297772,13161,1 person,makeup,gown,No Object,No Object,No Object
8,CquOEqiMi7w,GraphVideo,nickiminaj,1595749,23865,No Object,No Object,No Object,No Object,No Object,No Object
9,Cqa7_QmpDqL,GraphSidecar,nickiminaj,1659777,27373,1 person,makeup,No Object,No Object,No Object,No Object
10,CqNxDQRL7nE,GraphSidecar,nickiminaj,1752124,23048,1 person,eyewear,fishnet stockings,No Object,No Object,No Object
0,CpdNL1YIm2H,GraphImage,neymarjr,6970263,205,1 person,sweatpants,jacket,fleece,sportswear,sweatsuit
1,CrTbpNAI6kI,GraphImage,neymarjr,5051381,40,1 person,wheelchair,outdoors,No Object,No Object,No Object
2,CrTLRHBobmK,GraphImage,neymarjr,5432793,115,2 people,people playing soccer,stadium,No Object,No Object,No Object
3,CrSEJ_PoUsj,GraphSidecar,neymarjr,6879624,105,4 people,people playing soccer,crowd,stadium,No Object,No Object
4,CrR23ELp_zJ,GraphVideo,neymarjr,5016458,21514,No Object,No Object,No Object,No Object,No Object,No Object
5,CrMfIHwuz9K,GraphSidecar,neymarjr,22739975,399,1 person,people kissing,top,No Object,No Object,No Object
6,Cq0KB-bsFE2,GraphVideo,neymarjr,1995985,13537,No Object,No Object,No Object,No Object,No Object,No Object
7,CqqB0KEpmvr,GraphVideo,neymarjr,1047616,5553,No Object,No Object,No Object,No Object,No Object,No Object
8,CpPyvlFDJmX,GraphVideo,neymarjr,1944769,13,No Object,No Object,No Object,No Object,No Object,No Object
9,CozkCciI5pr,GraphVideo,neymarjr,2954598,23,No Object,No Object,No Object,No Object,No Object,No Object
0,CrK6lLcusAw,GraphImage,mileycyrus,1782845,9070,1 person,blonde hair,No Object,No Object,No Object,No Object
1,Cq8Z6g1ARkw,GraphVideo,mileycyrus,859548,5776,No Object,No Object,No Object,No Object,No Object,No Object
2,CqlYYdUgww_,GraphVideo,mileycyrus,581558,5078,No Object,No Object,No Object,No Object,No Object,No Object
3,CqTanDGPtF4,GraphSidecar,mileycyrus,2097527,10814,1 person,blonde hair,makeup,headdress,gown,dress
4,CqIurmapo6w,GraphVideo,mileycyrus,915714,4713,No Object,No Object,No Object,No Object,No Object,No Object
5,CqDpwptJ1r7,GraphImage,mileycyrus,1498108,7912,1 person,blonde hair,makeup,fur coat,fishnet stockings,No Object
6,Cp0yW23gAzg,GraphVideo,mileycyrus,1648324,11771,No Object,No Object,No Object,No Object,No Object,No Object
7,Cp0TvSnpNE5,GraphSidecar,mileycyrus,677378,3017,2 people,glasses,fishnet stockings,miniskirt,No Object,No Object
8,CpvIs7IA1pe,GraphVideo,mileycyrus,1056743,6234,No Object,No Object,No Object,No Object,No Object,No Object
9,CpsdIwhpNvV,GraphVideo,mileycyrus,480626,3450,No Object,No Object,No Object,No Object,No Object,No Object
10,CprE5Ssr_xL,GraphImage,mileycyrus,1978318,7709,1 person,sword,stick,No Object,No Object,No Object
11,CpqyTMxvMFA,GraphSidecar,mileycyrus,1050318,3876,2 people,blonde hair,makeup,fur,text,No Object
0,Crccr3Srojl,GraphVideo,katyperry,36704,491,No Object,No Object,No Object,No Object,No Object,No Object
1,CrcRpryrFzE,GraphSidecar,katyperry,79645,795,3 people,makeup,No Object,No Object,No Object,No Object
2,Crb3ER2MvsJ,GraphVideo,katyperry,85206,914,No Object,No Object,No Object,No Object,No Object,No Object
3,CrZyeH0OLut,GraphVideo,katyperry,65921,721,No Object,No Object,No Object,No Object,No Object,No Object
4,CrZdwmHNYsO,GraphVideo,katyperry,81464,885,No Object,No Object,No Object,No Object,No Object,No Object
5,CrZKEv9y_3l,GraphSidecar,katyperry,237086,2063,4 people,makeup,gown,dress,text,No Object
6,CrUO5RJPFCa,GraphVideo,katyperry,49567,511,No Object,No Object,No Object,No Object,No Object,No Object
7,CrKWCVWgOg7,GraphVideo,katyperry,225812,2282,No Object,No Object,No Object,No Object,No Object,No Object
8,CrJ-hhst9Xo,GraphVideo,katyperry,178718,2132,No Object,No Object,No Object,No Object,No Object,No Object
9,CrJtM63PHFW,GraphSidecar,katyperry,365430,3339,1 person,dress,sundress,text,No Object,No Object
10,CrHxh-8rVKB,GraphSidecar,katyperry,517241,4617,1 person,fishnet stockings,headdress,text,No Object,No Object
